0 1 2
1 2 2
2 1 1
3 3 1
4 3 2
5 6 2
6 4 2
7 3 3
8 4 3
9 5 2
10 4 3
11 5 3
12 5 1
13 6 1
14 5 3
15 6 3
16 12 2
17 11 2
18 9 2
19 10 2
20 8 2
21 6 3
22 8 3
23 16 2
24 8 3
25 16 3
26 7 2
27 18 2
28 12 3
29 11 3
30 12 4
31 11 4
32 11 1
33 10 1
34 11 4
35 10 4
36 10 1
37 16 1
38 10 4
39 16 4
40 13 2
41 14 2
42 11 3
43 14 3
44 23 2
45 14 3
46 23 3
47 24 2
48 15 2
49 22 2
50 23 3
51 22 3
52 15 1
53 21 2
54 17 2
55 15 1
56 19 1
57 19 2
58 20 2
59 16 3
60 17 3
61 17 3
62 19 3
63 19 1
64 20 1
65 21 1
66 1 2
67 2 2
68 1 1
69 3 1
70 3 2
71 6 2
72 4 2
73 3 3
74 4 3
75 5 2
76 5 3
77 5 1
78 6 1
79 6 3
80 12 2
81 11 2
82 9 2
83 10 2
84 8 2
85 8 3
86 16 2
87 16 3
88 7 2
89 18 2
90 12 3
91 11 3
92 12 4
93 11 4
94 11 1
95 10 1
96 10 4
97 16 1
98 16 4
99 13 2
100 14 2
101 14 3
102 23 2
103 23 3
104 24 2
105 15 2
106 22 2
107 22 3
108 15 1
109 21 2
110 17 2
111 19 1
112 19 2
113 20 2
114 17 3
115 19 3
116 20 1
117 21 1
118 1 2
119 2 2
120 1 1
121 3 1
122 3 2
123 6 2
124 4 2
125 3 3
126 4 3
127 5 2
128 5 3
129 5 1
130 6 1
131 6 3
132 12 2
133 11 2
134 9 2
135 10 2
136 8 2
137 8 3
138 16 2
139 16 3
140 7 2
141 18 2
142 12 3
143 11 3
144 12 4
145 11 4
146 11 1
147 10 1
148 10 4
149 16 1
150 16 4
151 13 2
152 14 2
153 14 3
154 23 2
155 23 3
156 24 2
157 15 2
158 22 2
159 22 3
160 15 1
161 21 2
162 17 2
163 19 1
164 19 2
165 20 2
166 17 3
167 19 3
168 20 1
169 21 1
170 1 2
171 2 2
172 1 1
173 3 1
174 3 2
175 6 2
176 4 2
177 3 3
178 4 3
179 5 2
180 5 3
181 5 1
182 6 1
183 6 3
184 12 2
185 11 2
186 9 2
187 10 2
188 8 2
189 8 3
190 16 2
191 16 3
192 7 2
193 18 2
194 12 3
195 11 3
196 12 4
197 11 4
198 11 1
199 10 1
200 10 4
201 16 1
202 16 4
203 13 2
204 14 2
205 14 3
206 23 2
207 23 3
208 24 2
209 15 2
210 22 2
211 22 3
212 15 1
213 21 2
214 17 2
215 19 1
216 19 2
217 20 2
218 17 3
219 19 3
220 20 1
221 21 1
222 1 2
223 2 2
224 1 1
225 3 1
226 3 2
227 6 2
228 4 2
229 3 3
230 4 3
231 5 2
232 5 3
233 5 1
234 6 1
235 6 3
236 12 2
237 11 2
238 9 2
239 10 2
240 8 2
241 8 3
242 16 2
243 16 3
244 7 2
245 18 2
246 12 3
247 11 3
248 12 4
249 11 4
250 11 1
251 10 1
252 10 4
253 16 1
254 16 4
255 13 2
256 14 2
257 14 3
258 23 2
259 23 3
260 24 2
261 15 2
262 22 2
263 22 3
264 15 1
265 21 2
266 17 2
267 19 1
268 19 2
269 20 2
270 17 3
271 19 3
272 20 1
273 21 1
274 1 2
275 2 2
276 1 1
277 3 1
278 3 2
279 6 2
280 4 2
281 3 3
282 4 3
283 5 2
284 5 3
285 5 1
286 6 1
287 6 3
288 12 2
289 11 2
290 9 2
291 10 2
292 8 2
293 8 3
294 16 2
295 16 3
296 7 2
297 18 2
298 12 3
299 11 3
300 12 4
301 11 4
302 11 1
303 10 1
304 10 4
305 16 1
306 16 4
307 13 2
308 14 2
309 14 3
310 23 2
311 23 3
312 24 2
313 15 2
314 22 2
315 22 3
316 15 1
317 21 2
318 17 2
319 19 1
320 19 2
321 20 2
322 17 3
323 19 3
324 20 1
325 21 1
326 1 2
327 2 2
328 1 1
329 3 1
330 3 2
331 6 2
332 4 2
333 3 3
334 4 3
335 5 2
336 5 3
337 5 1
338 6 1
339 6 3
340 12 2
341 11 2
342 9 2
343 10 2
344 8 2
345 8 3
346 16 2
347 16 3
348 7 2
349 18 2
350 12 3
351 11 3
352 12 4
353 11 4
354 11 1
355 10 1
356 10 4
357 16 1
358 16 4
359 13 2
360 14 2
361 14 3
362 23 2
363 23 3
364 24 2
365 15 2
366 22 2
367 22 3
368 15 1
369 21 2
370 17 2
371 19 1
372 19 2
373 20 2
374 17 3
375 19 3
376 20 1
377 21 1
378 1 2
379 2 2
380 1 1
381 3 1
382 3 2
383 6 2
384 4 2
385 3 3
386 4 3
387 5 2
388 5 3
389 5 1
390 6 1
391 6 3
392 12 2
393 11 2
394 9 2
395 10 2
396 8 2
397 8 3
398 16 2
399 16 3
400 7 2
401 18 2
402 12 3
403 11 3
404 12 4
405 11 4
406 11 1
407 10 1
408 10 4
409 16 1
410 16 4
411 13 2
412 14 2
413 14 3
414 23 2
415 23 3
416 24 2
417 15 2
418 22 2
419 22 3
420 15 1
421 21 2
422 17 2
423 19 1
424 19 2
425 20 2
426 17 3
427 19 3
428 20 1
429 21 1
430 1 2
431 2 2
432 1 1
433 3 1
434 3 2
435 6 2
436 4 2
437 3 3
438 4 3
439 5 2
440 5 3
441 5 1
442 6 1
443 6 3
444 12 2
445 11 2
446 9 2
447 10 2
448 8 2
449 8 3
450 16 2
451 16 3
452 7 2
453 18 2
454 12 3
455 11 3
456 12 4
457 11 4
458 11 1
459 10 1
460 10 4
461 16 1
462 16 4
463 13 2
464 14 2
465 14 3
466 23 2
467 23 3
468 24 2
469 15 2
470 22 2
471 22 3
472 15 1
473 21 2
474 17 2
475 19 1
476 19 2
477 20 2
478 17 3
479 19 3
480 20 1
481 21 1
482 1 2
483 2 2
484 3 2
485 6 2
486 4 2
487 5 2
488 12 2
489 11 2
490 9 2
491 10 2
492 8 2
493 16 2
494 7 2
495 18 2
496 13 2
497 14 2
498 23 2
499 24 2
500 15 2
501 22 2
502 21 2
